year,actor_name,location,best_fatality_estimate
1989,SPLM/A,Ethiopia,120
1989,LRA,Uganda,26
1989,Renamo,"Mozambique, Zambia, Zimbabwe (Rhodesia)",527
1989,UNITA,Angola,63
1989,Sendero Luminoso,Peru,90
1989,AUC,Colombia,28
1989,Medellín Cartel,Colombia,114
1989,Government of Mauritania,"Mauritania, Senegal",28
1989,Government of Guatemala,Guatemala,409
1989,Government of Venezuela,Venezuela,58
1989,Government of Romania,Romania,199
1989,Government of DR Congo (Zaire),DR Congo (Zaire),28
1989,Government of Somalia,Somalia,688
1989,Government of Ethiopia,Ethiopia,891
1989,Government of South Africa,"Kingdom of eSwatini (Swaziland), South Africa",57
1989,Government of Libya,Niger,170
1989,Government of Sudan,Sudan,1000
1989,Government of Israel,Israel,62
1989,Government of China,China,2600
1989,Government of Sri Lanka,Sri Lanka,59
1989,NSCN-IM,India,90
1989,JVP,Sri Lanka,250
1989,PCJSS,Bangladesh,54
1989,Sikh insurgents,India,140
1989,LTTE,Sri Lanka,145
1989,PKK,Turkey,96
1990,UPA,Uganda,40
1990,LRA,Uganda,63
1990,Renamo,"Mozambique, Zambia, Zimbabwe (Rhodesia)",236
1990,NPFL,Liberia,2011
1990,INPFL,Liberia,84
1990,FPR,Rwanda,52
1990,UNITA,Angola,51
1990,Sendero Luminoso,Peru,123
1990,AUC,Colombia,58
1990,Government of Mauritania,Mauritania,29
1990,Government of Philippines,Philippines,35
1990,ABSU,India,69
1990,Government of Guatemala,Guatemala,598
1990,Government of Colombia,Colombia,92
1990,Government of Venezuela,Venezuela,64
1990,Government of Mali,Mali,125
1990,Government of Niger,Niger,200
1990,Government of Liberia,Liberia,1250
1990,Government of Nigeria,Nigeria,80
1990,Government of Chad,"Chad, Sudan",41
1990,Government of DR Congo (Zaire),DR Congo (Zaire),147
1990,Government of Uganda,Uganda,80
1990,Government of Rwanda,Rwanda,1469
1990,Government of Ethiopia,Ethiopia,158
1990,Government of South Africa,"Botswana, South Africa",195
1990,Government of Sudan,Sudan,263
1990,Government of Iraq,"Iraq, Kuwait",294
1990,Government of India,"Bangladesh, India, Pakistan",43
1990,Government of Sri Lanka,Sri Lanka,464
1990,Government of Indonesia,Indonesia,96
1990,PWG,India,47
1990,KR,Cambodia (Kampuchea),103
1990,PCJSS,Bangladesh,47
1990,Sikh insurgents,India,296
1990,LTTE,Sri Lanka,683
1990,PKK,Turkey,86
1990,Kashmir insurgents,India,59
1990,GAM,Indonesia,32
1991,LRA,Uganda,102
1991,Renamo,Mozambique,547
1991,NPFL,"Liberia, Sierra Leone",271
1991,RUF,Sierra Leone,604
1991,SSDF,Sudan,2001
1991,Sendero Luminoso,Peru,146
1991,Government of Djibouti,"Djibouti, Somalia",59
1991,Government of Philippines,Philippines,30
1991,Palipehutu,Burundi,26
1991,MAS,Colombia,39
1991,Government of Haiti,Haiti,70
1991,Government of Guatemala,Guatemala,354
1991,Government of Colombia,Colombia,70
1991,Government of Venezuela,Venezuela,30
1991,Government of Russia (Soviet Union),Russia (Soviet Union),33
1991,Government of Mali,Mali,176
1991,Government of Sierra Leone,Sierra Leone,56
1991,Government of Togo,Togo,32
1991,Government of Chad,Chad,27
1991,Government of DR Congo (Zaire),DR Congo (Zaire),32
1991,Government of Uganda,Uganda,59
1991,Government of Burundi,Burundi,44
1991,Government of Rwanda,Rwanda,932
1991,Government of Somalia,Somalia,450
1991,Government of Ethiopia,Ethiopia,37
1991,Government of South Africa,South Africa,49
1991,Government of Sudan,Sudan,250
1991,Government of Iraq,"Iraq, Kuwait, Turkey",1759
1991,Government of Myanmar (Burma),"Bangladesh, Myanmar (Burma)",231
1991,Government of Sri Lanka,Sri Lanka,67
1991,Government of Indonesia,Indonesia,368
1991,KR,Cambodia (Kampuchea),92
1991,PCJSS,Bangladesh,67
1991,Sikh insurgents,"India, Nepal",433
1991,LTTE,Sri Lanka,147
1991,PKK,Turkey,49
1992,SPLM/A,Sudan,161
1992,Renamo,Mozambique,212
1992,NPFL,"Liberia, Sierra Leone",403
1992,FPR,Rwanda,49
1992,MFDC,Senegal,51
1992,RUF,Sierra Leone,289
1992,SSDF,Sudan,271
1992,Sendero Luminoso,Peru,139
1992,SPM/SNA ,Somalia,90
1992,Serbian Republic of Bosnia-Herzegovina,"Bosnia-Herzegovina, Serbia (Yugoslavia)",794
1992,Government of Bangladesh,Bangladesh,138
1992,PFT,Tajikistan,50
1992,"Serbian irregulars, Serbian Republic of Bosnia-Herzegovina","Bosnia-Herzegovina, Serbia (Yugoslavia)",3581
1992,Government of Guatemala,Guatemala,326
1992,Government of Venezuela,Venezuela,79
1992,Government of Bosnia-Herzegovina,Bosnia-Herzegovina,102
1992,Government of Mali,Mali,77
1992,Government of Chad,Chad,291
1992,Government of DR Congo (Zaire),DR Congo (Zaire),67
1992,Government of Rwanda,Rwanda,511
1992,Government of South Africa,South Africa,57
1992,Government of Sudan,Sudan,1558
1992,Government of Iraq,"Iraq, Jordan",159
1992,Government of Tajikistan,Tajikistan,46
1992,Government of Myanmar (Burma),"Bangladesh, Myanmar (Burma)",142
1992,Government of Sri Lanka,Sri Lanka,35
1992,Government of Papua New Guinea,Papua New Guinea,27
1992,MCC,India,37
1992,KR,Cambodia (Kampuchea),73
1992,PCJSS,Bangladesh,52
1992,Sikh insurgents,India,445
1992,LTTE,Sri Lanka,318
1992,PKK,Turkey,216
1992,Republic of Artsakh,Azerbaijan,774
1992,NDFB,India,83
1993,SPLM/A,"DR Congo (Zaire), Sudan",460
1993,NPFL,"Ivory Coast, Liberia, Sierra Leone",994
1993,FPR,Rwanda,247
1993,MFDC,Senegal,49
1993,RUF,Sierra Leone,202
1993,GIA,Algeria,26
