event_id,start_year,end_year,country,alliance,casualties_mil_k,casualties_civ_k,military_personnel_k,front,total_casualties_k,casualty_ratio
1,1914,1918,russia,allied_powers,663.09,406.18,2681.93,middle_east,1069.27,0.3986942239357477
2,1914,1918,belgium,allied_powers,24.86,119.7,1967.16,balkans,144.56,0.0734866508062384
3,1916,1918,italy,allied_powers,140.78,574.35,1042.95,italian_front,715.13,0.6856800421880244
4,1916,1919,belgium,allied_powers,875.83,227.43,1678.52,western_front,1103.26,0.6572814145795105
5,1914,1918,france,allied_powers,779.97,228.39,1387.56,balkans,1008.36,0.7267145204531696
6,1915,1919,belgium,allied_powers,147.9,227.98,2969.09,eastern_front,375.88,0.1265977117568009
7,1914,1918,ottoman_empire,central_powers,60.5,547.93,1723.18,western_front,608.43,0.3530855743451061
8,1917,1919,germany,central_powers,670.75,323.62,2253.69,italian_front,994.37,0.441218623679388
9,1915,1918,united_kingdom,allied_powers,138.4,96.41,2057.42,air,234.81,0.114128374371786
10,1917,1919,belgium,allied_powers,691.97,204.44,915.83,western_front,896.4100000000001,0.978795191247284
11,1916,1918,belgium,allied_powers,179.82,224.66,526.57,eastern_front,404.48,0.7681409879028429
12,1917,1918,austria-hungary,central_powers,53.07,526.87,2843.5,eastern_front,579.94,0.20395287497802
13,1915,1918,austria-hungary,central_powers,785.32,254.17,674.8,air,1039.49,1.5404416123295792
14,1917,1919,france,allied_powers,203.0,203.18,1785.51,air,406.18,0.2274868244927219
15,1914,1918,united_kingdom,allied_powers,64.7,143.18,2023.48,balkans,207.88,0.1027339039674224
16,1917,1918,russia,allied_powers,88.14,258.92,1299.56,air,347.06,0.2670596201791376
17,1914,1918,france,allied_powers,173.24,322.0,463.54,naval,495.24,1.068386762738922
18,1914,1919,belgium,allied_powers,872.13,555.86,2553.65,eastern_front,1427.99,0.5591956611125252
19,1915,1919,ottoman_empire,central_powers,886.79,159.49,2363.01,western_front,1046.28,0.4427742582553607
20,1917,1918,russia,allied_powers,521.68,325.55,2256.53,balkans,847.23,0.3754570069974695
21,1915,1918,france,allied_powers,62.1,517.16,1241.14,eastern_front,579.26,0.4667160836005607
22,1914,1918,austria-hungary,central_powers,603.08,188.85,833.56,naval,791.9300000000001,0.9500575843370604
23,1914,1918,france,allied_powers,192.63,159.49,2803.12,air,352.12,0.1256171694397671
24,1915,1919,belgium,allied_powers,838.65,62.6,2640.47,middle_east,901.25,0.3413218101322871
25,1915,1919,italy,allied_powers,619.06,511.82,1540.96,middle_east,1130.88,0.7338801785899698
26,1917,1919,italy,allied_powers,573.76,157.54,2236.63,western_front,731.3,0.3269651216338866
27,1914,1918,italy,allied_powers,497.72,258.16,173.4,italian_front,755.8800000000001,4.359169550173011
28,1915,1918,serbia,allied_powers,833.26,142.42,529.38,africa,975.68,1.8430616948128
29,1916,1919,germany,central_powers,344.91,23.72,1438.54,balkans,368.63,0.2562528674906502
30,1915,1918,ottoman_empire,central_powers,251.46,42.12,2331.31,western_front,293.58,0.1259291986050761
31,1916,1918,germany,central_powers,866.32,159.65,369.79,eastern_front,1025.97,2.7744665891451903
32,1916,1919,serbia,allied_powers,230.0,425.42,54.99,eastern_front,655.4200000000001,11.91889434442626
33,1914,1919,austria-hungary,central_powers,279.05,245.33,1237.08,africa,524.38,0.4238852782358457
34,1917,1919,ottoman_empire,central_powers,750.52,182.67,670.04,italian_front,933.19,1.3927377470001792
35,1917,1919,belgium,allied_powers,714.57,575.92,2221.09,air,1290.49,0.5810165279209757
36,1916,1918,russia,allied_powers,133.47,28.21,2952.61,balkans,161.68,0.0547583324584012
37,1915,1919,russia,allied_powers,590.8,3.82,2265.35,air,594.62,0.2624848257443662
38,1917,1918,united_states,allied_powers,721.47,400.71,2964.28,balkans,1122.18,0.3785674767565817
39,1917,1919,united_states,allied_powers,676.85,504.0,868.07,italian_front,1180.85,1.3603165643323694
40,1916,1919,russia,allied_powers,302.93,535.87,287.7,eastern_front,838.8,2.9155370177267987
41,1915,1918,ottoman_empire,central_powers,488.81,249.76,660.16,eastern_front,738.5699999999999,1.1187742365487154
42,1914,1919,italy,allied_powers,678.37,512.14,2862.62,air,1190.51,0.4158812556329516
43,1915,1919,ottoman_empire,central_powers,27.09,202.01,2053.47,balkans,229.1,0.1115672495824141
44,1915,1918,france,allied_powers,122.99,277.29,198.34,naval,400.28,2.018150650398306
45,1916,1919,ottoman_empire,central_powers,751.58,282.45,2259.62,naval,1034.03,0.4576123418981953
46,1914,1918,russia,allied_powers,559.58,143.51,1447.01,western_front,703.09,0.4858915971555138
47,1916,1919,germany,central_powers,98.18,15.89,970.27,italian_front,114.07,0.1175652138064662
48,1914,1918,serbia,allied_powers,716.81,339.78,171.15,eastern_front,1056.59,6.173473561203622
49,1914,1919,united_states,allied_powers,390.74,217.63,2680.15,western_front,608.37,0.2269910266216443
50,1916,1919,serbia,allied_powers,290.75,147.67,2807.13,air,438.42,0.1561808680039755
51,1917,1919,united_states,allied_powers,164.47,127.67,2403.61,africa,292.14,0.121542180303793
52,1916,1918,russia,allied_powers,440.23,455.02,2087.3,balkans,895.25,0.428903367987352
53,1914,1919,russia,allied_powers,597.9,221.73,1682.75,balkans,819.63,0.4870777001931362
54,1916,1919,austria-hungary,central_powers,208.25,432.91,980.87,air,641.1600000000001,0.6536646038720728
55,1917,1919,russia,allied_powers,205.51,108.08,91.74,middle_east,313.59,3.418247220405494
56,1914,1919,france,allied_powers,517.08,281.9,1349.38,italian_front,798.98,0.5921089685633402
57,1917,1918,united_states,allied_powers,519.74,412.03,497.59,eastern_front,931.77,1.8725657669969251
58,1914,1919,united_states,allied_powers,268.32,353.32,1315.05,balkans,621.64,0.4727120641800692
59,1914,1918,france,allied_powers,216.64,331.42,511.77,balkans,548.06,1.0709107606932802
60,1917,1919,austria-hungary,central_powers,632.99,272.69,2077.79,western_front,905.68,0.43588620601697
61,1915,1919,germany,central_powers,744.14,43.31,539.47,eastern_front,787.45,1.4596733831352997
62,1916,1919,austria-hungary,central_powers,848.47,300.53,1506.7,eastern_front,1149.0,0.7625937479259308
63,1916,1919,russia,allied_powers,528.82,12.94,2306.04,western_front,541.7600000000001,0.2349308771747238
64,1915,1919,germany,central_powers,392.86,488.64,2908.71,air,881.5,0.3030553063041692
65,1916,1918,ottoman_empire,central_powers,260.11,567.14,2450.02,italian_front,827.25,0.3376503048954702
66,1916,1919,ottoman_empire,central_powers,742.61,1.19,2614.63,africa,743.8000000000001,0.2844761973969548
67,1916,1919,russia,allied_powers,494.75,556.64,1342.44,air,1051.39,0.7831932898304579
68,1915,1918,belgium,allied_powers,84.8,595.36,2743.14,middle_east,680.16,0.247949430215009
69,1915,1919,ottoman_empire,central_powers,882.24,146.62,1676.23,middle_east,1028.86,0.6137940497425771
70,1915,1918,italy,allied_powers,241.19,2.04,2191.85,middle_east,243.23,0.1109701850035358
71,1915,1919,italy,allied_powers,686.82,226.64,2801.91,air,913.46,0.3260133266236246
72,1915,1919,united_states,allied_powers,348.08,398.38,2471.21,western_front,746.46,0.302062552352896
73,1916,1918,belgium,allied_powers,14.8,86.92,2619.25,air,101.72,0.0388355445261048
74,1916,1919,italy,allied_powers,342.63,190.34,2170.22,naval,532.97,0.2455833970749509
75,1914,1918,france,allied_powers,880.53,456.34,2126.48,middle_east,1336.87,0.6286774387720552
76,1916,1918,united_kingdom,allied_powers,323.26,258.7,770.38,western_front,581.96,0.7554194034113035
77,1915,1918,serbia,allied_powers,558.12,144.88,2742.85,italian_front,703.0,0.2563027507884135
78,1916,1919,united_states,allied_powers,610.17,95.21,1353.1,middle_east,705.38,0.521306629221787
79,1917,1919,russia,allied_powers,768.15,64.44,1175.02,air,832.5899999999999,0.7085751731885415
80,1916,1918,united_kingdom,allied_powers,778.7,467.1,2922.13,naval,1245.8000000000002,0.426332846245718
81,1915,1919,serbia,allied_powers,610.31,432.7,1994.59,balkans,1043.01,0.5229194972400343
82,1914,1919,serbia,allied_powers,659.39,54.53,920.58,air,713.92,0.7755110908340394
83,1916,1919,united_states,allied_powers,672.16,203.56,389.75,italian_front,875.72,2.2468762026940348
84,1917,1919,united_kingdom,allied_powers,483.38,273.14,2034.84,eastern_front,756.52,0.3717835308918637
85,1916,1918,united_kingdom,allied_powers,795.93,337.06,2750.0,balkans,1132.99,0.4119963636363636
86,1917,1919,germany,central_powers,851.69,182.97,1503.24,naval,1034.66,0.6882866342034539
87,1917,1919,serbia,allied_powers,796.99,393.13,2509.39,africa,1190.12,0.4742666544459011
88,1916,1918,russia,allied_powers,90.32,411.57,1656.17,air,501.89,0.3030425620558276
89,1915,1918,russia,allied_powers,874.01,30.82,1033.85,air,904.83,0.8752043333172125
90,1915,1918,germany,central_powers,3.55,515.11,476.83,balkans,518.66,1.0877251850764422
91,1915,1918,united_kingdom,allied_powers,711.2,143.14,1005.13,western_front,854.34,0.8499796046282571
92,1917,1918,united_states,allied_powers,462.4,65.88,1536.32,eastern_front,528.28,0.3438606540304103
93,1916,1919,united_states,allied_powers,384.22,65.22,2151.58,western_front,449.44000000000005,0.2088883518158748
94,1915,1918,serbia,allied_powers,493.97,195.45,2984.15,italian_front,689.4200000000001,0.2310272606939999
95,1917,1918,ottoman_empire,central_powers,799.39,248.58,2490.89,eastern_front,1047.97,0.420721107716519
96,1916,1919,italy,allied_powers,618.45,284.82,319.11,africa,903.27,2.830591332142521
97,1916,1918,france,allied_powers,318.88,399.37,2263.34,western_front,718.25,0.3173407442098845
98,1916,1918,united_states,allied_powers,762.7,210.39,1690.98,balkans,973.09,0.5754592011732842
99,1917,1918,germany,central_powers,632.73,185.74,1052.48,middle_east,818.47,0.7776584828215263
100,1917,1918,france,allied_powers,194.4,252.19,1055.64,italian_front,446.59,0.4230514190443711
101,1914,1918,serbia,allied_powers,606.9,163.63,2002.72,italian_front,770.53,0.384741751218343
102,1916,1918,ottoman_empire,central_powers,255.64,407.25,1485.57,eastern_front,662.89,0.4462192962970442
103,1914,1918,russia,allied_powers,687.98,174.02,403.95,balkans,862.0,2.133927466270578
104,1917,1918,ottoman_empire,central_powers,393.16,276.12,279.69,africa,669.28,2.3929350352175622
105,1917,1919,ottoman_empire,central_powers,869.61,103.54,2845.46,middle_east,973.15,0.3420009418512296
106,1914,1918,belgium,allied_powers,356.79,186.51,1051.56,naval,543.3,0.5166609608581536
107,1914,1918,germany,central_powers,93.42,153.95,561.82,africa,247.37,0.4403011640739026
108,1917,1919,italy,allied_powers,396.35,281.62,1912.59,air,677.97,0.3544774363559362
109,1914,1919,united_kingdom,allied_powers,332.5,172.6,1951.77,air,505.1,0.2587907386628547
110,1917,1919,serbia,allied_powers,290.05,285.64,495.04,western_front,575.69,1.1629161279896574
111,1916,1918,russia,allied_powers,891.9,314.68,1848.93,italian_front,1206.58,0.6525828452131773
112,1917,1919,france,allied_powers,85.96,407.19,888.23,western_front,493.15,0.5552052959256049
113,1915,1919,germany,central_powers,638.24,51.29,1698.82,middle_east,689.53,0.4058876161100058
114,1914,1919,italy,allied_powers,163.06,128.91,2845.62,africa,291.97,0.1026032991052916
115,1915,1918,belgium,allied_powers,751.77,530.27,161.36,middle_east,1282.04,7.945215666831928
116,1917,1918,serbia,allied_powers,649.34,26.69,1124.68,italian_front,676.0300000000001,0.6010865312800086
117,1917,1918,united_states,allied_powers,331.69,568.3,2954.1,balkans,899.99,0.3046579330422125
118,1917,1918,austria-hungary,central_powers,577.42,524.53,1685.9,balkans,1101.9499999999998,0.6536271427724063
119,1916,1918,united_states,allied_powers,133.47,262.76,2841.92,italian_front,396.23,0.1394233475959914
120,1917,1918,russia,allied_powers,895.08,225.26,133.15,naval,1120.34,8.414119414194518
121,1915,1918,germany,central_powers,404.29,3.65,283.72,middle_east,407.94,1.4378260256591004
122,1917,1918,austria-hungary,central_powers,43.93,252.19,2392.0,middle_east,296.12,0.1237959866220735
123,1917,1918,austria-hungary,central_powers,2.41,212.01,1733.46,balkans,214.42,0.1236948069179559
124,1914,1918,united_kingdom,allied_powers,882.95,152.56,97.91,naval,1035.51,10.576141354304974
125,1914,1919,italy,allied_powers,305.35,385.86,2499.63,italian_front,691.21,0.276524925689002
126,1915,1918,austria-hungary,central_powers,40.38,120.08,173.62,air,160.46,0.9242022808432208
127,1917,1919,austria-hungary,central_powers,776.06,29.16,1984.41,western_front,805.2199999999999,0.405773000539203
128,1917,1919,italy,allied_powers,447.09,298.77,2776.72,air,745.8599999999999,0.2686118874067245
129,1917,1918,belgium,allied_powers,289.77,48.5,1999.71,naval,338.27,0.169159528131579
130,1917,1918,united_states,allied_powers,654.41,547.01,1863.81,air,1201.42,0.6446043319866296
131,1914,1918,belgium,allied_powers,857.56,86.1,1842.34,naval,943.66,0.5122073015838553
132,1915,1919,serbia,allied_powers,544.98,407.6,2849.03,africa,952.58,0.3343523936216888
133,1915,1919,austria-hungary,central_powers,864.51,16.04,598.84,naval,880.55,1.4704261572373254
134,1916,1919,serbia,allied_powers,624.89,599.18,640.53,air,1224.07,1.9110268059263424
135,1917,1918,france,allied_powers,488.41,534.85,2561.52,africa,1023.26,0.3994737499609607
136,1914,1918,united_states,allied_powers,325.45,343.58,1428.85,italian_front,669.03,0.4682296952094342
137,1914,1919,belgium,allied_powers,692.48,494.09,267.56,naval,1186.57,4.43478098370459
138,1916,1918,ottoman_empire,central_powers,819.73,33.72,416.28,italian_front,853.45,2.0501825694244262
139,1916,1918,france,allied_powers,177.48,573.83,859.63,africa,751.3100000000001,0.8739922990123659
140,1915,1918,serbia,allied_powers,742.89,17.51,184.11,italian_front,760.4,4.130139590462223
141,1917,1918,austria-hungary,central_powers,221.15,484.51,1247.97,air,705.66,0.5654462847664607
142,1915,1919,united_states,allied_powers,306.83,86.63,2591.38,naval,393.46,0.1518341578618342
143,1916,1918,united_states,allied_powers,241.46,149.13,335.59,africa,390.59,1.1638904615751364
144,1917,1918,serbia,allied_powers,171.66,96.03,2988.11,italian_front,267.69,0.0895850554363795
145,1914,1918,russia,allied_powers,525.43,29.67,880.0,naval,555.0999999999999,0.6307954545454545
146,1914,1918,austria-hungary,central_powers,687.71,219.88,1231.72,naval,907.59,0.736847660182509
147,1916,1918,belgium,allied_powers,742.95,374.13,1852.58,naval,1117.08,0.6029861058631746
148,1916,1919,serbia,allied_powers,361.85,24.63,164.8,italian_front,386.48,2.345145631067961
149,1915,1918,germany,central_powers,891.56,443.72,932.74,africa,1335.28,1.431567210583871
150,1917,1919,italy,allied_powers,606.75,587.95,1771.92,air,1194.7,0.6742403720258251
151,1915,1918,belgium,allied_powers,697.37,228.42,2473.9,air,925.79,0.3742228869396499
152,1914,1918,italy,allied_powers,137.14,414.45,1260.61,western_front,551.5899999999999,0.4375580076312261
153,1914,1918,united_states,allied_powers,339.77,574.03,1406.01,balkans,913.8,0.6499242537393048
154,1916,1919,austria-hungary,central_powers,269.35,564.92,2947.67,balkans,834.27,0.2830269331370201
155,1917,1919,belgium,allied_powers,259.72,344.3,1652.41,air,604.02,0.365538819058224
156,1915,1919,france,allied_powers,831.68,393.76,2254.65,western_front,1225.44,0.5435167320870201
157,1916,1919,serbia,allied_powers,216.11,30.93,2720.29,italian_front,247.04,0.0908138470530715
158,1917,1919,germany,central_powers,868.1,586.76,515.93,air,1454.86,2.819878665710465
159,1916,1919,france,allied_powers,209.77,443.34,2558.48,middle_east,653.11,0.2552726618929989
160,1915,1918,germany,central_powers,789.19,6.06,1725.49,naval,795.25,0.4608835751004063
161,1917,1918,russia,allied_powers,298.29,438.81,1962.44,air,737.1,0.3756038401174049
162,1916,1918,ottoman_empire,central_powers,295.81,240.8,331.39,italian_front,536.61,1.6192703461178672
163,1914,1919,united_states,allied_powers,858.68,181.52,2182.5,naval,1040.2,0.4766093928980527
164,1915,1918,austria-hungary,central_powers,365.47,301.76,2690.6,eastern_front,667.23,0.2479855794246636
165,1916,1918,united_states,allied_powers,410.03,593.31,1152.19,balkans,1003.34,0.8708112377298882
166,1915,1918,belgium,allied_powers,71.21,338.72,232.19,eastern_front,409.93,1.7654937766484344
167,1915,1918,france,allied_powers,645.51,293.55,2701.72,africa,939.06,0.3475785795715322
168,1917,1919,austria-hungary,central_powers,356.96,489.96,2250.12,western_front,846.92,0.3763888148187652
169,1916,1918,united_states,allied_powers,259.09,108.4,449.52,western_front,367.49,0.8175164620039154
170,1917,1919,italy,allied_powers,161.45,322.59,1610.09,eastern_front,484.04,0.3006291573762957
171,1916,1919,russia,allied_powers,415.1,93.5,606.02,naval,508.6,0.8392462294973764
172,1917,1918,france,allied_powers,534.96,268.14,2032.47,balkans,803.1,0.3951349835421925
