event_id,start_year,end_year,country,alliance,casualties_mil_k,casualties_civ_k,military_personnel_k,front,total_casualties_k,casualty_ratio
1,1939,1946,canada,allies,1150400,605980,2899950,north_africa,1756380,0.34501645429804484
2,1941,1946,soviet_union,allies,1372000,929260,1582170,eastern_front,2301260,0.4038048721135378
3,1941,1945,united_states,allies,940250,1088390,1768940,north_africa,2028640,0.5365121460683019
4,1940,1946,italy,axis,63450,587690,4263830,eastern_front,651140,0.9025555180145591
5,1939,1945,canada,allies,559500,1090500,1156000,north_africa,1650000,0.6609090909090909
6,1942,1946,soviet_union,allies,433070,1110930,4017830,european,1544000,0.7195142487046632
7,1941,1945,italy,axis,528750,843010,1973070,atlantic,1371760,0.6145462763165568
8,1940,1945,germany,axis,1015250,281710,4739960,european,1296960,0.21720793239575623
9,1941,1946,soviet_union,allies,988670,142020,3323520,atlantic,1130690,0.12560471924223263
10,1941,1945,united_kingdom,allies,900010,771630,2569680,european,1671640,0.4616005838577684
11,1942,1945,soviet_union,allies,687030,1046859,4989940,north_africa,1733889,0.6037635627194128
12,1941,1945,italy,axis,21890,957580,405190,eastern_front,979470,0.977651178698684
13,1941,1945,japan,axis,121510,373550,1746290,asia,495060,0.7545550034339272
14,1942,1946,germany,axis,522710,938890,4741270,eastern_front,1461600,0.642371373836891
15,1939,1945,france,allies,1170420,1132660,1213940,north_africa,2303080,0.4918022821612797
16,1939,1946,france,allies,1201720,739510,487710,eastern_front,1941230,0.3809491920071295
17,1939,1946,united_kingdom,allies,1287240,292080,1527170,asia,1579320,0.18494035407643797
18,1942,1945,united_kingdom,allies,1047220,555280,2496090,north_africa,1602500,0.34650858034321375
19,1940,1945,japan,axis,1034349,445030,2680660,european,1479379,0.30082216930211936
20,1939,1945,japan,axis,308970,74390,1834320,eastern_front,383360,0.19404737061769617
21,1940,1946,poland,allies,161970,454090,2897510,north_africa,616060,0.7370872966918807
22,1940,1945,germany,axis,1303150,512010,701930,asia,1815160,0.2820743074990634
23,1940,1945,soviet_union,allies,479230,798110,3732830,pacific,1277340,0.6248218955015893
24,1941,1945,poland,allies,1092960,502120,800980,north_africa,1595080,0.3147929884394513
25,1942,1945,japan,axis,406550,414890,3454500,pacific,821440,0.5050764511102455
26,1940,1945,canada,allies,911160,664140,3308550,asia,1575300,0.42159588649780994
27,1940,1945,japan,axis,787560,1191070,3541740,eastern_front,1978630,0.601967017582873
28,1941,1946,soviet_union,allies,810910,691220,101470,pacific,1502130,0.460159906266435
29,1939,1946,poland,allies,1316810,781510,1872400,pacific,2098320,0.3724455755080255
30,1941,1945,canada,allies,1102020,379760,566600,atlantic,1481780,0.2562863582988028
31,1939,1946,china,allies,15160,1181690,4341880,north_africa,1196850,0.9873334168859924
32,1939,1945,soviet_union,allies,501120,634180,1462770,pacific,1135300,0.5586012507707214
33,1939,1945,poland,allies,1467750,469990,748270,pacific,1937740,0.24254543953265145
34,1942,1945,germany,axis,170400,231890,2287890,north_africa,402290,0.5764249670635612
35,1940,1945,japan,axis,346470,454980,3660700,north_africa,801450,0.5676960509077298
36,1940,1946,united_kingdom,allies,968420,701030,3230210,eastern_front,1669450,0.4199167390457935
37,1939,1945,italy,axis,713760,1080380,3531520,asia,1794140,0.602171513928679
38,1940,1946,china,allies,631430,557520,859920,north_africa,1188950,0.46891795281550946
39,1942,1946,italy,axis,554620,1177940,4249690,north_africa,1732560,0.6798841021378769
40,1940,1945,china,allies,1092760,279250,844870,pacific,1372010,0.20353350194240566
41,1941,1945,japan,axis,621480,1126990,1207750,north_africa,1748470,0.6445578134025748
42,1940,1945,germany,axis,3560,363940,1137320,pacific,367500,0.9903129251700681
43,1941,1945,soviet_union,allies,186420,622860,2722310,eastern_front,809280,0.76964709371293
44,1939,1946,france,allies,1348500,522630,4180470,eastern_front,1871130,0.2793125010020683
45,1939,1946,united_states,allies,380630,810290,4423720,eastern_front,1190920,0.6803899506264065
46,1939,1946,poland,allies,264990,812300,1976310,pacific,1077290,0.7540216654754058
47,1939,1945,japan,axis,1384680,951550,3220540,european,2336230,0.407301507129007
48,1940,1946,japan,axis,67890,1076580,1354990,pacific,1144470,0.9406799653988309
49,1942,1945,soviet_union,allies,849030,1037569,1489650,eastern_front,1886599,0.5499679582147557
50,1940,1945,soviet_union,allies,244310,25350,3698570,atlantic,269660,0.09400726841207446
51,1939,1946,germany,axis,213750,304770,3646380,eastern_front,518520,0.5877690349456144
52,1940,1945,japan,axis,1120,178230,4163479,asia,179350,0.9937552272093672
53,1942,1945,germany,axis,513500,659080,3686210,atlantic,1172580,0.56207678793771
54,1942,1946,soviet_union,allies,1407730,525340,4650380,asia,1933070,0.2717646024199848
55,1940,1945,poland,allies,1069750,818140,134520,asia,1887890,0.43336211325871743
56,1939,1945,soviet_union,allies,1428910,650960,4034150,european,2079870,0.3129810997802747
57,1942,1945,united_states,allies,194800,585620,3480940,north_africa,780420,0.7503908152020706
58,1939,1946,poland,allies,1188120,88510,2430240,european,1276630,0.06933097295222578
59,1941,1946,china,allies,1147630,352580,4852700,atlantic,1500210,0.23502043047306712
60,1942,1945,china,allies,236470,636500,3275040,asia,872970,0.7291201301304742
61,1939,1945,japan,axis,1385070,4710,430280,pacific,1389780,0.0033890256011742865
62,1939,1945,italy,axis,372840,801950,2853460,atlantic,1174790,0.6826326407272789
63,1940,1946,soviet_union,allies,896500,954360,1535900,eastern_front,1850860,0.5156305717342209
64,1939,1946,soviet_union,allies,733220,388590,740310,eastern_front,1121810,0.3463955571799146
65,1941,1945,china,allies,892930,923030,2204240,atlantic,1815960,0.5082876274807815
66,1942,1946,japan,axis,408150,301270,4165420,north_africa,709420,0.4246708578839052
67,1940,1946,china,allies,1234520,291350,1854920,north_africa,1525870,0.190940250480054
68,1940,1946,united_kingdom,allies,637330,1135050,2023630,atlantic,1772380,0.6404100700752661
69,1940,1946,poland,allies,971460,306870,2566320,asia,1278330,0.2400553847598038
70,1940,1946,germany,axis,765210,511520,991910,pacific,1276730,0.4006485317960728
71,1940,1946,canada,allies,588840,933350,1355650,pacific,1522190,0.6131626143911075
72,1941,1945,poland,allies,1172810,702620,1630420,north_africa,1875430,0.3746447481377604
73,1942,1945,japan,axis,14180,844350,4090170,pacific,858530,0.9834833960374127
