ucdp_country,ucdp_normalized,world_bank_country_code,world_bank_country_name,world_bank_normalized,similarity_score,match_type
Afghanistan,afghanistan,AFG,Afghanistan,afghanistan,1.0,exact_normalized
Albania,albania,ALB,Albania,albania,1.0,exact_normalized
Algeria,algeria,DZA,Algeria,algeria,1.0,exact_normalized
Andorra,andorra,AND,Andorra,andorra,1.0,exact_normalized
Angola,angola,AGO,Angola,angola,1.0,exact_normalized
Antigua & Barbuda,antigua and barbuda,ATG,Antigua and Barbuda,antigua and barbuda,1.0,exact_normalized
Argentina,argentina,ARG,Argentina,argentina,1.0,exact_normalized
Armenia,armenia,ARM,Armenia,armenia,1.0,exact_normalized
Australia,australia,AUS,Australia,australia,1.0,exact_normalized
Austria,austria,AUT,Austria,austria,1.0,exact_normalized
Azerbaijan,azerbaijan,AZE,Azerbaijan,azerbaijan,1.0,exact_normalized
Bahamas,bahamas,BHS,"Bahamas, The",bahamas the,0.7778,needs_manual_review
Bahrain,bahrain,BHR,Bahrain,bahrain,1.0,exact_normalized
Bangladesh,bangladesh,BGD,Bangladesh,bangladesh,1.0,exact_normalized
Barbados,barbados,BRB,Barbados,barbados,1.0,exact_normalized
Belarus,belarus,BLR,Belarus,belarus,1.0,exact_normalized
Belgium,belgium,BEL,Belgium,belgium,1.0,exact_normalized
Belize,belize,BLZ,Belize,belize,1.0,exact_normalized
Benin,benin,BEN,Benin,benin,1.0,exact_normalized
Bhutan,bhutan,BTN,Bhutan,bhutan,1.0,exact_normalized
Bolivia,bolivia,BOL,Bolivia,bolivia,1.0,exact_normalized
Bosnia-Herzegovina,bosnia herzegovina,BIH,Bosnia and Herzegovina,bosnia and herzegovina,0.9,high_similarity
Botswana,botswana,BWA,Botswana,botswana,1.0,exact_normalized
Brazil,brazil,BRA,Brazil,brazil,1.0,exact_normalized
Brunei,brunei,BDI,Burundi,burundi,0.7692,needs_manual_review
Bulgaria,bulgaria,BGR,Bulgaria,bulgaria,1.0,exact_normalized
Burkina Faso,burkina faso,BFA,Burkina Faso,burkina faso,1.0,exact_normalized
Burundi,burundi,BDI,Burundi,burundi,1.0,exact_normalized
Cambodia (Kampuchea),cambodia (kampuchea),KHM,Cambodia,cambodia,0.5714,needs_manual_review
Cameroon,cameroon,CMR,Cameroon,cameroon,1.0,exact_normalized
Canada,canada,CAN,Canada,canada,1.0,exact_normalized
Cape Verde,cape verde,CPV,Cabo Verde,cabo verde,0.8,medium_similarity
Central African Republic,central african republic,CAF,Central African Republic,central african republic,1.0,exact_normalized
Chad,chad,TCD,Chad,chad,1.0,exact_normalized
Chile,chile,CHL,Chile,chile,1.0,exact_normalized
China,china,CHN,China,china,1.0,exact_normalized
Colombia,colombia,COL,Colombia,colombia,1.0,exact_normalized
Comoros,comoros,COM,Comoros,comoros,1.0,exact_normalized
Congo,congo,COG,"Congo, Rep.",congo rep,0.7143,needs_manual_review
Costa Rica,costa rica,CRI,Costa Rica,costa rica,1.0,exact_normalized
Croatia,croatia,HRV,Croatia,croatia,1.0,exact_normalized
Cuba,cuba,CUB,Cuba,cuba,1.0,exact_normalized
Cyprus,cyprus,CYP,Cyprus,cyprus,1.0,exact_normalized
Czech Republic,czech republic,KGZ,Kyrgyz Republic,kyrgyz republic,0.6897,needs_manual_review
Czechoslovakia,czechoslovakia,CZE,Czechia,czechia,0.6667,needs_manual_review
DR Congo (Zaire),dr congo (zaire),COG,"Congo, Rep.",congo rep,0.64,needs_manual_review
Denmark,denmark,DNK,Denmark,denmark,1.0,exact_normalized
Djibouti,djibouti,DJI,Djibouti,djibouti,1.0,exact_normalized
Dominica,dominica,DMA,Dominica,dominica,1.0,exact_normalized
Dominican Republic,dominican republic,DOM,Dominican Republic,dominican republic,1.0,exact_normalized
East Timor,east timor,TLS,Timor-Leste,timor leste,0.4762,needs_manual_review
Ecuador,ecuador,ECU,Ecuador,ecuador,1.0,exact_normalized
Egypt,egypt,EGY,"Egypt, Arab Rep.",egypt arab rep,0.5263,needs_manual_review
El Salvador,el salvador,SLV,El Salvador,el salvador,1.0,exact_normalized
Equatorial Guinea,equatorial guinea,GNQ,Equatorial Guinea,equatorial guinea,1.0,exact_normalized
Eritrea,eritrea,ERI,Eritrea,eritrea,1.0,exact_normalized
Estonia,estonia,EST,Estonia,estonia,1.0,exact_normalized
Ethiopia,ethiopia,ETH,Ethiopia,ethiopia,1.0,exact_normalized
Federated States of Micronesia,federated states of micronesia,USA,United States,united states,0.4651,needs_manual_review
Fiji,fiji,FJI,Fiji,fiji,1.0,exact_normalized
Finland,finland,FIN,Finland,finland,1.0,exact_normalized
France,france,FRA,France,france,1.0,exact_normalized
Gabon,gabon,GAB,Gabon,gabon,1.0,exact_normalized
Gambia,gambia,ZMB,Zambia,zambia,0.8333,medium_similarity
Georgia,georgia,GEO,Georgia,georgia,1.0,exact_normalized
