ucdp_country,ucdp_normalized,world_bank_country_code,world_bank_country_name,world_bank_normalized,similarity_score,match_type,review_status,include_in_merge,review_notes
Afghanistan,afghanistan,AFG,Afghanistan,afghanistan,1.0,exact_normalized,auto_accepted,True,
Albania,albania,ALB,Albania,albania,1.0,exact_normalized,auto_accepted,True,
Algeria,algeria,DZA,Algeria,algeria,1.0,exact_normalized,auto_accepted,True,
Andorra,andorra,AND,Andorra,andorra,1.0,exact_normalized,auto_accepted,True,
Angola,angola,AGO,Angola,angola,1.0,exact_normalized,auto_accepted,True,
Antigua & Barbuda,antigua and barbuda,ATG,Antigua and Barbuda,antigua and barbuda,1.0,exact_normalized,auto_accepted,True,
Argentina,argentina,ARG,Argentina,argentina,1.0,exact_normalized,auto_accepted,True,
Armenia,armenia,ARM,Armenia,armenia,1.0,exact_normalized,auto_accepted,True,
Australia,australia,AUS,Australia,australia,1.0,exact_normalized,auto_accepted,True,
Austria,austria,AUT,Austria,austria,1.0,exact_normalized,auto_accepted,True,
Azerbaijan,azerbaijan,AZE,Azerbaijan,azerbaijan,1.0,exact_normalized,auto_accepted,True,
Bahamas,bahamas,BHS,"Bahamas, The",bahamas the,0.7778,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Bahrain,bahrain,BHR,Bahrain,bahrain,1.0,exact_normalized,auto_accepted,True,
Bangladesh,bangladesh,BGD,Bangladesh,bangladesh,1.0,exact_normalized,auto_accepted,True,
Barbados,barbados,BRB,Barbados,barbados,1.0,exact_normalized,auto_accepted,True,
Belarus,belarus,BLR,Belarus,belarus,1.0,exact_normalized,auto_accepted,True,
Belgium,belgium,BEL,Belgium,belgium,1.0,exact_normalized,auto_accepted,True,
Belize,belize,BLZ,Belize,belize,1.0,exact_normalized,auto_accepted,True,
Benin,benin,BEN,Benin,benin,1.0,exact_normalized,auto_accepted,True,
Bhutan,bhutan,BTN,Bhutan,bhutan,1.0,exact_normalized,auto_accepted,True,
Bolivia,bolivia,BOL,Bolivia,bolivia,1.0,exact_normalized,auto_accepted,True,
Bosnia-Herzegovina,bosnia herzegovina,BIH,Bosnia and Herzegovina,bosnia and herzegovina,0.9,high_similarity,manual_review,True,Manual country mapping reviewed.
Botswana,botswana,BWA,Botswana,botswana,1.0,exact_normalized,auto_accepted,True,
Brazil,brazil,BRA,Brazil,brazil,1.0,exact_normalized,auto_accepted,True,
Brunei,brunei,BRN,Brunei Darussalam,burundi,0.7692,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Bulgaria,bulgaria,BGR,Bulgaria,bulgaria,1.0,exact_normalized,auto_accepted,True,
Burkina Faso,burkina faso,BFA,Burkina Faso,burkina faso,1.0,exact_normalized,auto_accepted,True,
Burundi,burundi,BDI,Burundi,burundi,1.0,exact_normalized,auto_accepted,True,
Cambodia (Kampuchea),cambodia (kampuchea),KHM,Cambodia,cambodia,0.5714,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Cameroon,cameroon,CMR,Cameroon,cameroon,1.0,exact_normalized,auto_accepted,True,
Canada,canada,CAN,Canada,canada,1.0,exact_normalized,auto_accepted,True,
Cape Verde,cape verde,CPV,Cabo Verde,cabo verde,0.8,medium_similarity,manual_review,True,Manual country mapping reviewed.
Central African Republic,central african republic,CAF,Central African Republic,central african republic,1.0,exact_normalized,auto_accepted,True,
Chad,chad,TCD,Chad,chad,1.0,exact_normalized,auto_accepted,True,
Chile,chile,CHL,Chile,chile,1.0,exact_normalized,auto_accepted,True,
China,china,CHN,China,china,1.0,exact_normalized,auto_accepted,True,
Colombia,colombia,COL,Colombia,colombia,1.0,exact_normalized,auto_accepted,True,
Comoros,comoros,COM,Comoros,comoros,1.0,exact_normalized,auto_accepted,True,
Congo,congo,COG,"Congo, Rep.",congo rep,0.7143,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Costa Rica,costa rica,CRI,Costa Rica,costa rica,1.0,exact_normalized,auto_accepted,True,
Croatia,croatia,HRV,Croatia,croatia,1.0,exact_normalized,auto_accepted,True,
Cuba,cuba,CUB,Cuba,cuba,1.0,exact_normalized,auto_accepted,True,
Cyprus,cyprus,CYP,Cyprus,cyprus,1.0,exact_normalized,auto_accepted,True,
Czech Republic,czech republic,CZE,Czechia,kyrgyz republic,0.6897,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Czechoslovakia,czechoslovakia,,,czechia,0.6667,needs_manual_review,exclude_historical_entity,False,Excluded from World Bank merge.
DR Congo (Zaire),dr congo (zaire),COD,"Congo, Dem. Rep.",congo rep,0.64,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Denmark,denmark,DNK,Denmark,denmark,1.0,exact_normalized,auto_accepted,True,
Djibouti,djibouti,DJI,Djibouti,djibouti,1.0,exact_normalized,auto_accepted,True,
Dominica,dominica,DMA,Dominica,dominica,1.0,exact_normalized,auto_accepted,True,
Dominican Republic,dominican republic,DOM,Dominican Republic,dominican republic,1.0,exact_normalized,auto_accepted,True,
East Timor,east timor,TLS,Timor-Leste,timor leste,0.4762,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Ecuador,ecuador,ECU,Ecuador,ecuador,1.0,exact_normalized,auto_accepted,True,
Egypt,egypt,EGY,"Egypt, Arab Rep.",egypt arab rep,0.5263,needs_manual_review,manual_review,True,Manual country mapping reviewed.
El Salvador,el salvador,SLV,El Salvador,el salvador,1.0,exact_normalized,auto_accepted,True,
Equatorial Guinea,equatorial guinea,GNQ,Equatorial Guinea,equatorial guinea,1.0,exact_normalized,auto_accepted,True,
Eritrea,eritrea,ERI,Eritrea,eritrea,1.0,exact_normalized,auto_accepted,True,
Estonia,estonia,EST,Estonia,estonia,1.0,exact_normalized,auto_accepted,True,
Ethiopia,ethiopia,ETH,Ethiopia,ethiopia,1.0,exact_normalized,auto_accepted,True,
Federated States of Micronesia,federated states of micronesia,FSM,"Micronesia, Fed. Sts.",united states,0.4651,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Fiji,fiji,FJI,Fiji,fiji,1.0,exact_normalized,auto_accepted,True,
Finland,finland,FIN,Finland,finland,1.0,exact_normalized,auto_accepted,True,
France,france,FRA,France,france,1.0,exact_normalized,auto_accepted,True,
Gabon,gabon,GAB,Gabon,gabon,1.0,exact_normalized,auto_accepted,True,
Gambia,gambia,GMB,"Gambia, The",zambia,0.8333,medium_similarity,manual_review,True,Manual country mapping reviewed.
Georgia,georgia,GEO,Georgia,georgia,1.0,exact_normalized,auto_accepted,True,
German Democratic Republic,german democratic republic,,,syrian arab republic,0.6522,needs_manual_review,exclude_historical_entity,False,Excluded from World Bank merge.
Germany,germany,DEU,Germany,germany,1.0,exact_normalized,auto_accepted,True,
Ghana,ghana,GHA,Ghana,ghana,1.0,exact_normalized,auto_accepted,True,
Greece,greece,GRC,Greece,greece,1.0,exact_normalized,auto_accepted,True,
Grenada,grenada,GRD,Grenada,grenada,1.0,exact_normalized,auto_accepted,True,
Guatemala,guatemala,GTM,Guatemala,guatemala,1.0,exact_normalized,auto_accepted,True,
Guinea,guinea,GIN,Guinea,guinea,1.0,exact_normalized,auto_accepted,True,
Guinea-Bissau,guinea bissau,GNB,Guinea-Bissau,guinea bissau,1.0,exact_normalized,auto_accepted,True,
Guyana,guyana,GUY,Guyana,guyana,1.0,exact_normalized,auto_accepted,True,
Haiti,haiti,HTI,Haiti,haiti,1.0,exact_normalized,auto_accepted,True,
Honduras,honduras,HND,Honduras,honduras,1.0,exact_normalized,auto_accepted,True,
Hungary,hungary,HUN,Hungary,hungary,1.0,exact_normalized,auto_accepted,True,
Iceland,iceland,ISL,Iceland,iceland,1.0,exact_normalized,auto_accepted,True,
India,india,IND,India,india,1.0,exact_normalized,auto_accepted,True,
Indonesia,indonesia,IDN,Indonesia,indonesia,1.0,exact_normalized,auto_accepted,True,
Iran,iran,IRN,"Iran, Islamic Rep.",iraq,0.75,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Iraq,iraq,IRQ,Iraq,iraq,1.0,exact_normalized,auto_accepted,True,
Ireland,ireland,IRL,Ireland,ireland,1.0,exact_normalized,auto_accepted,True,
Israel,israel,ISR,Israel,israel,1.0,exact_normalized,auto_accepted,True,
