rank,feature,feature_group,coefficient,absolute_coefficient,effect
1,non_state_dyad_count,ucdp_conflict,1.3979911755667411,1.3979911755667411,increases_predicted_risk
2,state_based_dyad_count,ucdp_conflict,1.1019618282079404,1.1019618282079404,increases_predicted_risk
3,one_sided_dyad_count,ucdp_conflict,0.8230922656364056,0.8230922656364056,increases_predicted_risk
4,conflict_last_5_years_count,temporal_conflict,0.6305433113029146,0.6305433113029146,increases_predicted_risk
5,organized_violence_exists,ucdp_conflict,0.5450511890554187,0.5450511890554187,increases_predicted_risk
6,years_since_last_conflict,temporal_conflict,-0.4746703577787484,0.4746703577787484,decreases_predicted_risk
7,intrastate_conflict_exists,ucdp_conflict,0.4273445159266787,0.4273445159266787,increases_predicted_risk
8,state_based_conflict_exists,ucdp_conflict,-0.3440306114819227,0.3440306114819227,decreases_predicted_risk
9,gdp_per_capita_current_usd,world_bank,-0.27393559987905786,0.27393559987905786,decreases_predicted_risk
10,year,time_index,-0.217366801111431,0.217366801111431,decreases_predicted_risk
11,school_enrollment_secondary_gross_pct,world_bank,-0.18733845390052625,0.18733845390052625,decreases_predicted_risk
12,conflict_previous_year,temporal_conflict,0.18203063190334953,0.18203063190334953,increases_predicted_risk
13,interstate_deaths_best,ucdp_conflict,0.18141542213858505,0.18141542213858505,increases_predicted_risk
14,population_growth_annual_pct,world_bank,0.17738571305733972,0.17738571305733972,increases_predicted_risk
15,gdp_growth_annual_pct,world_bank,-0.1484878193833876,0.1484878193833876,decreases_predicted_risk
16,population_total,world_bank,0.14683491362714562,0.14683491362714562,increases_predicted_risk
17,natural_resources_rents_pct_gdp,world_bank,0.12459942194339936,0.12459942194339936,increases_predicted_risk
18,non_state_conflict_exists,ucdp_conflict,-0.10744448460029185,0.10744448460029185,decreases_predicted_risk
19,interstate_conflict_exists,ucdp_conflict,-0.10380296537297408,0.10380296537297408,decreases_predicted_risk
20,deaths_last_5_years_sum,temporal_conflict,-0.0995153859622266,0.0995153859622266,decreases_predicted_risk
21,one_sided_violence_exists,ucdp_conflict,-0.08211559213120075,0.08211559213120075,decreases_predicted_risk
22,deaths_previous_year,temporal_conflict,0.07417866732541455,0.07417866732541455,increases_predicted_risk
23,intrastate_deaths_best,ucdp_conflict,-0.06769204613616638,0.06769204613616638,decreases_predicted_risk
24,military_expenditure_pct_gdp,world_bank,0.05518613201653587,0.05518613201653587,increases_predicted_risk
25,inflation_consumer_prices_annual_pct,world_bank,0.05201913856838087,0.05201913856838087,increases_predicted_risk
26,unemployment_total_pct,world_bank,-0.04405247912539254,0.04405247912539254,decreases_predicted_risk
27,deaths_last_3_years_sum,temporal_conflict,0.03777991900629668,0.03777991900629668,increases_predicted_risk
28,non_state_deaths_best,ucdp_conflict,-0.03632117894494044,0.03632117894494044,decreases_predicted_risk
29,one_sided_deaths_best,ucdp_conflict,0.020176683270424073,0.020176683270424073,increases_predicted_risk
30,cumulative_organized_violence_deaths_best,ucdp_conflict,0.01977562989038859,0.01977562989038859,increases_predicted_risk
31,conflict_last_3_years_count,temporal_conflict,0.010620593011904144,0.010620593011904144,increases_predicted_risk
32,state_based_deaths_best,ucdp_conflict,0.006188396355939716,0.006188396355939716,increases_predicted_risk
33,urban_population_pct,world_bank,0.0010807539619299155,0.0010807539619299155,increases_predicted_risk
