country,region,year,forecast_year,organized_violence_exists,target_conflict_next_year,predicted_conflict_next_year,predicted_conflict_probability,predicted_probability_percent,risk_level,risk_level_description,prediction_result,predictive_statement
DR Congo (Zaire),Africa,2023,2024,1,1,1,0.9999999999999832,100.0%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 100.0% de probabilidade de violência organizada em 2024 para DR Congo (Zaire) (risco muito alto)."
Nigeria,Africa,2023,2024,1,1,1,0.9999999999995216,100.0%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 100.0% de probabilidade de violência organizada em 2024 para Nigeria (risco muito alto)."
Brazil,Americas,2023,2024,1,1,1,0.9999999999419776,100.0%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 100.0% de probabilidade de violência organizada em 2024 para Brazil (risco muito alto)."
Ukraine,Europe,2023,2024,1,1,1,0.9999999485274198,100.0%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 100.0% de probabilidade de violência organizada em 2024 para Ukraine (risco muito alto)."
Mexico,Americas,2023,2024,1,1,1,0.9999999310373684,100.0%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 100.0% de probabilidade de violência organizada em 2024 para Mexico (risco muito alto)."
Sudan,Africa,2023,2024,1,1,1,0.9999974082113208,100.0%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 100.0% de probabilidade de violência organizada em 2024 para Sudan (risco muito alto)."
India,Asia,2023,2024,1,1,1,0.9999960038630888,100.0%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 100.0% de probabilidade de violência organizada em 2024 para India (risco muito alto)."
Colombia,Americas,2023,2024,1,1,1,0.9999946178150732,100.0%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 100.0% de probabilidade de violência organizada em 2024 para Colombia (risco muito alto)."
Mali,Africa,2023,2024,1,1,1,0.9999932212329152,100.0%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 100.0% de probabilidade de violência organizada em 2024 para Mali (risco muito alto)."
Myanmar (Burma),Asia,2023,2024,1,1,1,0.9999894539730864,100.0%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 100.0% de probabilidade de violência organizada em 2024 para Myanmar (Burma) (risco muito alto)."
Ethiopia,Africa,2023,2024,1,1,1,0.9999769414187094,100.0%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 100.0% de probabilidade de violência organizada em 2024 para Ethiopia (risco muito alto)."
Syria,Middle East,2023,2024,1,1,1,0.9999629445438994,100.0%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 100.0% de probabilidade de violência organizada em 2024 para Syria (risco muito alto)."
Pakistan,Asia,2023,2024,1,1,1,0.999906873084338,100.0%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 100.0% de probabilidade de violência organizada em 2024 para Pakistan (risco muito alto)."
Cameroon,Africa,2023,2024,1,1,1,0.9999049399236164,100.0%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 100.0% de probabilidade de violência organizada em 2024 para Cameroon (risco muito alto)."
