country,region,year,forecast_year,predicted_conflict_probability,predicted_probability_percent,risk_level,risk_level_description,predicted_conflict_next_year,target_conflict_next_year,prediction_result,main_explanation_groups,top_positive_factors,top_negative_factors,short_explanation,explanation_text,technical_warning
DR Congo (Zaire),Africa,2023,2024,0.9999999999999832,100.0%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de violência unilateral; quantidade de díades de conflito estatal; quantidade de díades de conflito não estatal,existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral,"DR Congo (Zaire): 100.0% de risco estimado para 2024, classificado como risco muito alto.","Para DR Congo (Zaire), o modelo estimou 100.0% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de violência unilateral; quantidade de díades de conflito estatal; quantidade de díades de conflito não estatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Nigeria,Africa,2023,2024,0.9999999999995216,100.0%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito não estatal; quantidade de díades de violência unilateral; quantidade de díades de conflito estatal,existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral,"Nigeria: 100.0% de risco estimado para 2024, classificado como risco muito alto.","Para Nigeria, o modelo estimou 100.0% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito não estatal; quantidade de díades de violência unilateral; quantidade de díades de conflito estatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Brazil,Americas,2023,2024,0.9999999999419776,100.0%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito não estatal; quantidade de díades de violência unilateral; frequência de conflito nos últimos 5 anos,existência de conflito não estatal; existência de violência unilateral; mortes estimadas em conflitos não estatais,"Brazil: 100.0% de risco estimado para 2024, classificado como risco muito alto.","Para Brazil, o modelo estimou 100.0% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito não estatal; quantidade de díades de violência unilateral; frequência de conflito nos últimos 5 anos. Sinais que reduziram a estimativa no modelo: existência de conflito não estatal; existência de violência unilateral; mortes estimadas em conflitos não estatais.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Ukraine,Europe,2023,2024,0.9999999485274198,100.0%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,mortes estimadas em conflitos interestatais; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base,crescimento populacional anual; existência de conflito estatal no ano-base; existência de conflito interestatal,"Ukraine: 100.0% de risco estimado para 2024, classificado como risco muito alto.","Para Ukraine, o modelo estimou 100.0% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: mortes estimadas em conflitos interestatais; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base. Sinais que reduziram a estimativa no modelo: crescimento populacional anual; existência de conflito estatal no ano-base; existência de conflito interestatal.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Mexico,Americas,2023,2024,0.9999999310373684,100.0%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito não estatal; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base,mortes estimadas em conflitos não estatais; existência de conflito não estatal; mortes acumuladas nos últimos 5 anos,"Mexico: 100.0% de risco estimado para 2024, classificado como risco muito alto.","Para Mexico, o modelo estimou 100.0% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito não estatal; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base. Sinais que reduziram a estimativa no modelo: mortes estimadas em conflitos não estatais; existência de conflito não estatal; mortes acumuladas nos últimos 5 anos.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Sudan,Africa,2023,2024,0.9999974082113208,100.0%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito não estatal; frequência de conflito nos últimos 5 anos; quantidade de díades de conflito estatal,existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral,"Sudan: 100.0% de risco estimado para 2024, classificado como risco muito alto.","Para Sudan, o modelo estimou 100.0% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito não estatal; frequência de conflito nos últimos 5 anos; quantidade de díades de conflito estatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
India,Asia,2023,2024,0.9999960038630888,100.0%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito estatal; quantidade de díades de violência unilateral; frequência de conflito nos últimos 5 anos,existência de conflito estatal no ano-base; existência de conflito interestatal; existência de conflito não estatal,"India: 100.0% de risco estimado para 2024, classificado como risco muito alto.","Para India, o modelo estimou 100.0% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito estatal; quantidade de díades de violência unilateral; frequência de conflito nos últimos 5 anos. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de conflito interestatal; existência de conflito não estatal.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Colombia,Americas,2023,2024,0.9999946178150732,100.0%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de violência unilateral; quantidade de díades de conflito não estatal; quantidade de díades de conflito estatal,existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral,"Colombia: 100.0% de risco estimado para 2024, classificado como risco muito alto.","Para Colombia, o modelo estimou 100.0% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de violência unilateral; quantidade de díades de conflito não estatal; quantidade de díades de conflito estatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Mali,Africa,2023,2024,0.9999932212329152,100.0%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito não estatal; quantidade de díades de violência unilateral; quantidade de díades de conflito estatal,existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral,"Mali: 100.0% de risco estimado para 2024, classificado como risco muito alto.","Para Mali, o modelo estimou 100.0% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito não estatal; quantidade de díades de violência unilateral; quantidade de díades de conflito estatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Myanmar (Burma),Asia,2023,2024,0.9999894539730864,100.0%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos; quantidade de díades de violência unilateral,existência de conflito estatal no ano-base; existência de violência unilateral; mortes estimadas em conflitos intraestatais,"Myanmar (Burma): 100.0% de risco estimado para 2024, classificado como risco muito alto.","Para Myanmar (Burma), o modelo estimou 100.0% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos; quantidade de díades de violência unilateral. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de violência unilateral; mortes estimadas em conflitos intraestatais.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
