dataset_path,file_name,extension,layer,source_name,file_size_kb,modified_at,read_status,rows,columns,detected_unit,has_country,has_year,has_date,has_event_id,has_actor,has_target,has_fatality_signal,integration_status,decision,reason,column_sample
data/final/UCDP_One-sided_Violence_Dataset_updated.csv,UCDP_One-sided_Violence_Dataset_updated.csv,.csv,final,ucdp_one_sided,49.86,2026-05-26T09:28:47,read_csv:utf8_or_default,1330.0,4.0,actor-country-year,True,True,False,False,True,False,True,experimental_review,experimental,Fonte adicionada pelo grupo ou módulo paralelo; requer validação e possível agregação antes de integração ao pipeline principal.,"year, actor_name, location, best_fatality_estimate"
data/raw/ucdp/OneSided_v25_1.xlsx,OneSided_v25_1.xlsx,.xlsx,raw,ucdp_one_sided,116.65,2026-05-26T09:28:47,read_excel:first_sheet,1330.0,17.0,actor-country-year,True,True,False,True,True,False,True,experimental_review,experimental,Fonte adicionada pelo grupo ou módulo paralelo; requer validação e possível agregação antes de integração ao pipeline principal.,"conflict_id, dyad_id, actor_id, coalition_components, actor_name, actor_name_fulltext, actor_name_mothertongue, year, best_fatality_estimate, low_fatality_estimate, high_fatality_estimate, is_government_actor, location, gwno_location, gwnoa, region, version"
data/final/world_war_1_details_clean.csv,world_war_1_details_clean.csv,.csv,final,wwi,963.76,2026-05-21T09:39:45,read_csv:utf8_or_default,10000.0,11.0,event-country-year,True,True,False,True,False,False,False,experimental_review,experimental,Fonte adicionada pelo grupo ou módulo paralelo; requer validação e possível agregação antes de integração ao pipeline principal.,"event_id, start_year, end_year, country, alliance, casualties_mil_k, casualties_civ_k, military_personnel_k, front, total_casualties_k, casualty_ratio"
data/interim/country_name_mapping_candidates.csv,country_name_mapping_candidates.csv,.csv,interim,country_mapping,13.22,2026-05-15T11:01:14,read_csv:utf8_or_default,199.0,7.0,country-only,True,False,False,False,False,False,False,requires_temporal_key,not_ready,"Possui país/localidade, mas não possui chave temporal clara.","ucdp_country, ucdp_normalized, world_bank_country_code, world_bank_country_name, world_bank_normalized, similarity_score, match_type"
data/interim/country_name_mapping_reviewed.csv,country_name_mapping_reviewed.csv,.csv,interim,country_mapping,18.58,2026-05-15T11:07:33,read_csv:utf8_or_default,199.0,10.0,country-only,True,False,False,False,False,False,False,requires_temporal_key,not_ready,"Possui país/localidade, mas não possui chave temporal clara.","ucdp_country, ucdp_normalized, world_bank_country_code, world_bank_country_name, world_bank_normalized, similarity_score, match_type, review_status, include_in_merge, review_notes"
data/final/conflict_country_year_base.csv,conflict_country_year_base.csv,.csv,final,project_final_dataset,594.56,2026-05-13T10:14:26,read_csv:utf8_or_default,6737.0,22.0,country-year,True,True,False,False,False,True,False,official_project_dataset,official,Dataset final produzido pelo pipeline do projeto e compatível com a unidade country-year.,"country_id, country, year, region, main_government_name, state_based_conflict_exists, state_based_dyad_count, state_based_deaths_best, intrastate_conflict_exists, intrastate_deaths_best, interstate_conflict_exists, interstate_deaths_best, non_state_conflict_exists, non_state_dyad_count, non_state_deaths_best, one_sided_violence_exists, one_sided_dyad_count, one_sided_deaths_best"
data/final/conflict_country_year_temporal.csv,conflict_country_year_temporal.csv,.csv,final,project_final_dataset,719.54,2026-05-13T10:15:15,read_csv:utf8_or_default,6737.0,28.0,country-year,True,True,False,False,False,True,False,official_project_dataset,official,Dataset final produzido pelo pipeline do projeto e compatível com a unidade country-year.,"country, year, region, main_government_name, state_based_conflict_exists, state_based_dyad_count, state_based_deaths_best, intrastate_conflict_exists, intrastate_deaths_best, interstate_conflict_exists, interstate_deaths_best, non_state_conflict_exists, non_state_dyad_count, non_state_deaths_best, one_sided_violence_exists, one_sided_dyad_count, one_sided_deaths_best, cumulative_organized_violence_deaths_best"
data/final/conflict_country_year_world_bank.csv,conflict_country_year_world_bank.csv,.csv,final,project_world_bank_dataset,2058.52,2026-05-18T13:35:45,read_csv:utf8_or_default,6663.0,43.0,country-year,True,True,False,False,False,True,False,official_project_dataset,official,Dataset final produzido pelo pipeline do projeto e compatível com a unidade country-year.,"country, year, region, main_government_name, state_based_conflict_exists, state_based_dyad_count, state_based_deaths_best, intrastate_conflict_exists, intrastate_deaths_best, interstate_conflict_exists, interstate_deaths_best, non_state_conflict_exists, non_state_dyad_count, non_state_deaths_best, one_sided_violence_exists, one_sided_dyad_count, one_sided_deaths_best, cumulative_organized_violence_deaths_best"
data/final/conflict_country_year_world_bank_features.csv,conflict_country_year_world_bank_features.csv,.csv,final,project_world_bank_dataset,5141.83,2026-05-18T13:35:51,read_csv:utf8_or_default,6663.0,83.0,country-year,True,True,False,False,False,True,False,official_project_dataset,official,Dataset final produzido pelo pipeline do projeto e compatível com a unidade country-year.,"country, year, region, main_government_name, state_based_conflict_exists, state_based_dyad_count, state_based_deaths_best, intrastate_conflict_exists, intrastate_deaths_best, interstate_conflict_exists, interstate_deaths_best, non_state_conflict_exists, non_state_dyad_count, non_state_deaths_best, one_sided_violence_exists, one_sided_dyad_count, one_sided_deaths_best, cumulative_organized_violence_deaths_best"
data/processed/ucdp_organized_violence_country_year.csv,ucdp_organized_violence_country_year.csv,.csv,processed,ucdp,585.07,2026-05-12T09:48:46,read_csv:utf8_or_default,6936.0,20.0,country-year,True,True,False,False,False,False,False,official_or_candidate,official,Fonte UCDP em estrutura compatível com a unidade country-year.,"country_id, country, year, region, main_government_name, state_based_conflict_exists, state_based_dyad_count, state_based_deaths_best, intrastate_conflict_exists, intrastate_deaths_best, interstate_conflict_exists, interstate_deaths_best, non_state_conflict_exists, non_state_dyad_count, non_state_deaths_best, one_sided_violence_exists, one_sided_dyad_count, one_sided_deaths_best"
data/processed/world_bank/world_bank_country_year_indicators.csv,world_bank_country_year_indicators.csv,.csv,processed,world_bank,1447.86,2026-05-18T10:26:16,read_csv:utf8_or_default,7595.0,16.0,country-year,True,True,False,False,False,False,False,official_or_already_integrated,official,Fonte externa socioeconômica já utilizada ou alinhada ao pipeline principal.,"country_code, iso2_code, country_name, world_bank_region, world_bank_income_level, year, population_total, population_growth_annual_pct, urban_population_pct, gdp_per_capita_current_usd, gdp_growth_annual_pct, inflation_consumer_prices_annual_pct, unemployment_total_pct, school_enrollment_secondary_gross_pct, military_expenditure_pct_gdp, natural_resources_rents_pct_gdp"
data/raw/ucdp/organizedviolencecy_v25_1.xlsx,organizedviolencecy_v25_1.xlsx,.xlsx,raw,ucdp,1881.64,2026-05-12T09:48:46,read_excel:first_sheet,6936.0,74.0,unknown,False,False,False,False,False,False,False,official_raw_source,supporting_raw_data,Arquivo bruto UCDP preservado como fonte central; a modelagem usa versões processadas/finais.,"country_id_cy, country_cy, year_cy, region_cy, main_govt_name_cy, sb_exist_cy, sb_dyad_count_cy, sb_dyad_ids_cy, sb_dyad_names_cy, sb_deaths_parties_cy, sb_deaths_civilians_cy, sb_deaths_unknown_cy, sb_total_deaths_best_cy, sb_total_deaths_high_cy, sb_total_deaths_low_cy, sb_intrastate_exist_cy, sb_intrastate_dyad_count_cy, sb_intrastate_dyad_ids_cy"
data/raw/world_bank/FP.CPI.TOTL.ZG.json,FP.CPI.TOTL.ZG.json,.json,raw,world_bank,2277.03,2026-05-18T10:26:08,read_error:ValueError: dictionary update sequence element #0 has length 8; 2 is required,,,unreadable_or_unsupported,False,False,False,False,False,False,False,raw_source_reference,supporting_raw_data,Arquivo bruto World Bank preservado para rastreabilidade; a integração ocorre por dataset processado/final.,
data/raw/world_bank/MS.MIL.XPND.GD.ZS.json,MS.MIL.XPND.GD.ZS.json,.json,raw,world_bank,2256.6,2026-05-18T10:26:14,read_error:ValueError: dictionary update sequence element #0 has length 8; 2 is required,,,unreadable_or_unsupported,False,False,False,False,False,False,False,raw_source_reference,supporting_raw_data,Arquivo bruto World Bank preservado para rastreabilidade; a integração ocorre por dataset processado/final.,
data/raw/world_bank/NY.GDP.MKTP.KD.ZG.json,NY.GDP.MKTP.KD.ZG.json,.json,raw,world_bank,2191.5,2026-05-18T10:26:05,read_error:ValueError: dictionary update sequence element #0 has length 8; 2 is required,,,unreadable_or_unsupported,False,False,False,False,False,False,False,raw_source_reference,supporting_raw_data,Arquivo bruto World Bank preservado para rastreabilidade; a integração ocorre por dataset processado/final.,
data/raw/world_bank/NY.GDP.PCAP.CD.json,NY.GDP.PCAP.CD.json,.json,raw,world_bank,2226.9,2026-05-18T10:26:03,read_error:ValueError: dictionary update sequence element #0 has length 8; 2 is required,,,unreadable_or_unsupported,False,False,False,False,False,False,False,raw_source_reference,supporting_raw_data,Arquivo bruto World Bank preservado para rastreabilidade; a integração ocorre por dataset processado/final.,
data/raw/world_bank/NY.GDP.TOTL.RT.ZS.json,NY.GDP.TOTL.RT.ZS.json,.json,raw,world_bank,2349.73,2026-05-18T10:26:15,read_error:ValueError: dictionary update sequence element #0 has length 8; 2 is required,,,unreadable_or_unsupported,False,False,False,False,False,False,False,raw_source_reference,supporting_raw_data,Arquivo bruto World Bank preservado para rastreabilidade; a integração ocorre por dataset processado/final.,
data/raw/world_bank/SE.SEC.ENRR.json,SE.SEC.ENRR.json,.json,raw,world_bank,2255.31,2026-05-18T10:26:12,read_error:ValueError: dictionary update sequence element #0 has length 8; 2 is required,,,unreadable_or_unsupported,False,False,False,False,False,False,False,raw_source_reference,supporting_raw_data,Arquivo bruto World Bank preservado para rastreabilidade; a integração ocorre por dataset processado/final.,
data/raw/world_bank/SL.UEM.TOTL.ZS.json,SL.UEM.TOTL.ZS.json,.json,raw,world_bank,2502.87,2026-05-18T10:26:10,read_error:ValueError: dictionary update sequence element #0 has length 8; 2 is required,,,unreadable_or_unsupported,False,False,False,False,False,False,False,raw_source_reference,supporting_raw_data,Arquivo bruto World Bank preservado para rastreabilidade; a integração ocorre por dataset processado/final.,
data/raw/world_bank/SP.POP.GROW.json,SP.POP.GROW.json,.json,raw,world_bank,2209.2,2026-05-18T10:25:58,read_error:ValueError: dictionary update sequence element #0 has length 8; 2 is required,,,unreadable_or_unsupported,False,False,False,False,False,False,False,raw_source_reference,supporting_raw_data,Arquivo bruto World Bank preservado para rastreabilidade; a integração ocorre por dataset processado/final.,
data/raw/world_bank/SP.POP.TOTL.json,SP.POP.TOTL.json,.json,raw,world_bank,2027.89,2026-05-18T10:25:57,read_error:ValueError: dictionary update sequence element #0 has length 8; 2 is required,,,unreadable_or_unsupported,False,False,False,False,False,False,False,raw_source_reference,supporting_raw_data,Arquivo bruto World Bank preservado para rastreabilidade; a integração ocorre por dataset processado/final.,
