feature,importance
inflation_consumer_prices_annual_pct,0.3071185
inflation_previous_year,0.07626369
inflation_last_3_years_mean,0.053908262
gdp_last_3_years_mean,0.050784476
inflation_last_5_years_mean,0.04606838
inflation_growth_rate,0.044690065
gdp_per_capita_current_usd,0.041625455
gdp_growth_rate,0.036522597
gdp_previous_year,0.035075128
interest_last_3_years_mean,0.03469412
interest_previous_year,0.032362614
inflation_volatility_5y,0.031455655
interest_volatility,0.031304847
real_interest_rate,0.03080871
gdp_growth_volatility,0.030537758
gdp_growth_previous_year,0.030004848
gdp_growth_last_3_years_mean,0.029492566
inflation_interest_interaction,0.029128436
gdp_interest_interaction,0.028153889
