feature,coefficient,absolute_value
one_sided_actor_count,1.4069038058622392,1.4069038058622392
avg_fatalities,0.6761748633981393,0.6761748633981393
violence_last_3_years,0.36033830126993976,0.36033830126993976
fatalities_last_3_years,0.29349570374773515,0.29349570374773515
previous_year_violence,0.2218439414621802,0.2218439414621802
years_since_last_violence,-0.1981835255099238,0.1981835255099238
max_fatalities,0.1971082750591058,0.1971082750591058
neighboring_conflict,0.18638884994660343,0.18638884994660343
total_fatalities,0.18172993882609872,0.18172993882609872
fatalities_last_5_years,-0.17180480541258492,0.17180480541258492
cumulative_events,0.08074510937217133,0.08074510937217133
violence_last_5_years,0.05820915414332961,0.05820915414332961
previous_year_fatalities,-0.03971269778750396,0.03971269778750396
fatality_growth_rate,0.03425309986627722,0.03425309986627722
