country,region,years_observed,first_test_year,last_test_year,actual_conflict_years,predicted_conflict_years,previous_conflict_years,mean_predicted_probability,max_predicted_probability,actual_conflict_rate,predicted_conflict_rate
DR Congo (Zaire),Africa,7,2017,2023,7,7,7,0.9999999999999938,1.0,1.0,1.0
Nigeria,Africa,7,2017,2023,7,7,7,0.9999999999961355,0.9999999999999982,1.0,1.0
Syria,Middle East,7,2017,2023,7,7,7,0.9999503798973989,0.999999999997308,1.0,1.0
Mexico,Americas,7,2017,2023,7,7,7,0.9999992514527817,0.999999999966706,1.0,1.0
Ukraine,Europe,7,2017,2023,7,7,7,0.9540218974015492,0.9999999999635364,1.0,1.0
Brazil,Americas,7,2017,2023,7,7,7,0.9999727904288208,0.9999999999419776,1.0,1.0
Central African Republic,Africa,7,2017,2023,7,7,7,0.9976593864918746,0.9999999987744366,1.0,1.0
Mali,Africa,7,2017,2023,7,7,7,0.999991415405675,0.999999986777439,1.0,1.0
Sudan,Africa,7,2017,2023,7,7,7,0.9999661614700502,0.9999999327181862,1.0,1.0
Ethiopia,Africa,7,2017,2023,7,7,7,0.999839929024912,0.9999998858375496,1.0,1.0
South Sudan,Africa,7,2017,2023,7,7,7,0.9997274331205909,0.9999998338248888,1.0,1.0
Somalia,Africa,7,2017,2023,7,7,7,0.9984906013158585,0.9999961137551466,1.0,1.0
Colombia,Americas,7,2017,2023,7,7,7,0.9998674967886937,0.9999960897536267,1.0,1.0
India,Asia,7,2017,2023,7,7,7,0.9999427449636636,0.9999960038630888,1.0,1.0
Myanmar (Burma),Asia,7,2017,2023,7,7,7,0.9997826019746656,0.9999940814332132,1.0,1.0
Pakistan,Asia,7,2017,2023,7,7,7,0.999227742873219,0.9999925968493062,1.0,1.0
Afghanistan,Asia,7,2017,2023,7,7,7,0.999402919965372,0.999990578498939,1.0,1.0
Libya,Africa,7,2017,2023,7,7,7,0.9711745143898118,0.9999810591363992,1.0,1.0
Kenya,Africa,7,2017,2023,7,7,7,0.9962492265443111,0.9999349799604448,1.0,1.0
Cameroon,Africa,7,2017,2023,7,7,7,0.9990685366749892,0.9999049399236164,1.0,1.0
Yemen (North Yemen),Middle East,7,2017,2023,7,7,7,0.9936051654114689,0.9998520629925796,1.0,1.0
Ecuador,Americas,7,2017,2023,6,5,5,0.5885436156138347,0.9998384495744284,0.8571428571428571,0.7142857142857143
Niger,Africa,7,2017,2023,7,7,7,0.9977443513482218,0.9996057438574276,1.0,1.0
Burkina Faso,Africa,7,2017,2023,7,7,7,0.9974730002869399,0.9993858734559692,1.0,1.0
Philippines,Asia,7,2017,2023,7,7,7,0.9984707917280329,0.9993300954073736,1.0,1.0
Iran,Middle East,7,2017,2023,7,7,7,0.9923612813356266,0.9986108983925456,1.0,1.0
Iraq,Middle East,7,2017,2023,7,7,7,0.9919615786479137,0.9983550238409538,1.0,1.0
Haiti,Americas,7,2017,2023,7,6,7,0.8016348668142854,0.9983387811424816,1.0,0.8571428571428571
Israel,Middle East,7,2017,2023,7,7,7,0.9913458361216977,0.9978125609697422,1.0,1.0
Chad,Africa,7,2017,2023,7,7,7,0.9903363654451242,0.9968917966798486,1.0,1.0
Mozambique,Africa,7,2017,2023,7,7,7,0.9780871937861522,0.9961377599364394,1.0,1.0
Turkey,Middle East,7,2017,2023,7,7,7,0.9463889396758454,0.9959294454406,1.0,1.0
Russia (Soviet Union),Europe,7,2017,2023,7,7,7,0.9393377948999371,0.9947576766148728,1.0,1.0
Burundi,Africa,7,2017,2023,7,7,7,0.9729284538307489,0.9923470450389712,1.0,1.0
Egypt,Middle East,7,2017,2023,6,7,7,0.962756338484423,0.9900079183056402,0.8571428571428571,1.0
