country,year,region,target_conflict_next_year,organized_violence_exists,predicted_conflict_next_year,predicted_conflict_probability,risk_band,prediction_result
Liberia,2019,Africa,1,1,0,0.491880329356771,moderate,false_negative
Congo,2018,Africa,1,0,0,0.4903329262322284,moderate,false_negative
Peru,2018,Americas,1,0,0,0.4856404305300257,moderate,false_negative
Rwanda,2020,Africa,1,0,0,0.4761564595520526,moderate,false_negative
Lebanon,2019,Middle East,1,0,0,0.4490395381523078,moderate,false_negative
Rwanda,2023,Africa,1,0,0,0.4454752837817058,moderate,false_negative
Ghana,2022,Africa,1,1,0,0.4365205314259005,moderate,false_negative
France,2023,Europe,1,1,0,0.4142779708374979,moderate,false_negative
Zimbabwe (Rhodesia),2018,Africa,1,1,0,0.4114015275144274,moderate,false_negative
Haiti,2017,Americas,1,1,0,0.4023257122376804,moderate,false_negative
China,2022,Asia,1,0,0,0.3868063229480691,low,false_negative
El Salvador,2020,Americas,1,0,0,0.3829557418378594,low,false_negative
United States of America,2017,Americas,1,1,0,0.3529545718761693,low,false_negative
Armenia,2017,Europe,1,0,0,0.3491568071144831,low,false_negative
Saudi Arabia,2022,Middle East,1,0,0,0.3412171438582701,low,false_negative
Kingdom of eSwatini (Swaziland),2019,Africa,1,1,0,0.3342318017443064,low,false_negative
Madagascar (Malagasy),2018,Africa,1,0,0,0.3237612165591017,low,false_negative
Papua New Guinea,2020,Asia,1,0,0,0.3196087288543552,low,false_negative
Senegal,2019,Africa,1,0,0,0.2902039219151177,low,false_negative
Paraguay,2019,Americas,1,0,0,0.2744598703695315,low,false_negative
Tajikistan,2020,Asia,1,0,0,0.2705310834859684,low,false_negative
El Salvador,2018,Americas,1,0,0,0.2686105521948869,low,false_negative
Lebanon,2022,Middle East,1,0,0,0.2542492867170763,low,false_negative
Sri Lanka,2018,Asia,1,0,0,0.246174604884409,low,false_negative
Guatemala,2020,Americas,1,0,0,0.2441898607023254,low,false_negative
Tajikistan,2021,Asia,1,1,0,0.2416678744421696,low,false_negative
Guinea,2018,Africa,1,0,0,0.2413646874709905,low,false_negative
Benin,2019,Africa,1,1,0,0.2284002462726124,low,false_negative
Senegal,2017,Africa,1,0,0,0.2252121718049108,low,false_negative
Tajikistan,2017,Asia,1,0,0,0.2176390898198756,low,false_negative
South Africa,2017,Africa,1,0,0,0.2132484777822045,low,false_negative
Paraguay,2017,Americas,1,0,0,0.2036401834552668,low,false_negative
Liberia,2023,Africa,1,0,0,0.1975038386094041,very_low,false_negative
Mauritania,2022,Africa,1,0,0,0.1974747509912831,very_low,false_negative
Ivory Coast,2019,Africa,1,0,0,0.1928971871958054,very_low,false_negative
Papua New Guinea,2018,Asia,1,0,0,0.1915255838917632,very_low,false_negative
Togo,2021,Africa,1,0,0,0.1881224730844663,very_low,false_negative
Kyrgyzstan,2020,Asia,1,0,0,0.1876165723124567,very_low,false_negative
Bolivia,2022,Americas,1,0,0,0.1788447666409054,very_low,false_negative
Mauritania,2018,Africa,1,0,0,0.1693065960912146,very_low,false_negative
Zimbabwe (Rhodesia),2017,Africa,1,0,0,0.1583918658749523,very_low,false_negative
