probability_bin,samples,mean_predicted_probability,observed_positive_rate,calibration_error
"(-0.001, 0.1]",688,0.041748517698964795,0.020348837209302327,0.021399680489662468
"(0.1, 0.2]",163,0.13695423292184739,0.1411042944785276,-0.004150061556680212
"(0.2, 0.3]",42,0.242464432524525,0.3333333333333333,-0.09086890080880833
"(0.3, 0.4]",26,0.34419385645501055,0.3076923076923077,0.03650154876270284
"(0.4, 0.5]",27,0.45647126325201137,0.37037037037037035,0.08610089288164102
"(0.5, 0.6]",21,0.5495923659550997,0.7142857142857143,-0.16469334833061455
"(0.6, 0.7]",15,0.6542771021000141,0.6666666666666666,-0.012389564566652522
"(0.7, 0.8]",28,0.750666061842101,0.6071428571428571,0.14352320469924396
"(0.8, 0.9]",56,0.8612543069495182,0.75,0.11125430694951821
"(0.9, 1.0]",292,0.9830772248476682,0.9863013698630136,-0.003224145015345403
