threshold,accuracy,precision,recall,f1_score,tn,fp,fn,tp
0.1,0.7798232695139912,0.5991620111731844,0.9727891156462585,0.7415730337078652,630,287,12,429
0.15,0.8652430044182622,0.7231833910034602,0.9478458049886621,0.8204121687929342,757,160,23,418
0.2,0.894698085419735,0.7876447876447876,0.9251700680272109,0.8508863399374348,807,110,33,408
0.25,0.9057437407952872,0.8174442190669371,0.9138321995464853,0.8629550321199143,827,90,38,403
0.3,0.9086892488954345,0.837953091684435,0.891156462585034,0.8637362637362638,841,76,48,393
0.35,0.9131075110456554,0.8596881959910914,0.8752834467120182,0.8674157303370786,854,63,55,386
0.4,0.9167893961708394,0.8778801843317973,0.8639455782312925,0.8708571428571429,864,53,60,381
0.45,0.9167893961708394,0.8849765258215962,0.854875283446712,0.8696655132641292,868,49,64,377
0.5,0.9182621502209131,0.8928571428571429,0.8503401360544217,0.8710801393728222,872,45,66,375
0.55,0.9175257731958762,0.902200488997555,0.8367346938775511,0.8682352941176471,877,40,72,369
0.6,0.9167893961708394,0.9120603015075377,0.8231292517006803,0.865315852205006,882,35,78,363
0.65,0.914580265095729,0.9198966408268734,0.8072562358276644,0.8599033816425121,886,31,85,356
0.7,0.914580265095729,0.9287598944591029,0.7981859410430839,0.8585365853658536,890,27,89,352
0.75,0.9108983799705449,0.9371584699453552,0.7777777777777778,0.8500619578686494,894,23,98,343
0.8,0.9101620029455081,0.9544159544159544,0.7596371882086168,0.8459595959595959,901,16,106,335
0.85,0.8998527245949927,0.9579579579579579,0.7233560090702947,0.8242894056847545,903,14,122,319
0.9,0.8865979381443299,0.9704918032786886,0.671201814058957,0.7935656836461126,908,9,145,296
