experiment,model,accuracy,precision,recall,f1_score,tn,fp,fn,tp,f1_difference_vs_persistence
reference,Persistence baseline,0.9072164948453608,0.8571428571428571,0.8571428571428571,0.8571428571428571,854,63,63,378,0.0
temporal_only,Logistic Regression scaled,0.9160530191458026,0.8958837772397095,0.8390022675736961,0.8665105386416861,874,43,71,370,0.00936768149882905
temporal_only,Decision Tree,0.8895434462444771,0.8197802197802198,0.8458049886621315,0.8325892857142857,835,82,68,373,-0.024553571428571397
temporal_only,Random Forest,0.8991163475699558,0.8318777292576419,0.8639455782312925,0.8476084538375973,840,77,60,381,-0.009534403305259787
temporal_world_bank_raw,Logistic Regression scaled,0.9153166421207658,0.8918269230769231,0.8412698412698413,0.8658109684947491,872,45,70,371,0.00866811135189205
temporal_world_bank_raw,Decision Tree,0.9013254786450663,0.8218029350104822,0.8888888888888888,0.8540305010893247,832,85,49,392,-0.003112356053532439
temporal_world_bank_raw,Random Forest,0.9094256259204713,0.8471615720524017,0.8798185941043084,0.8631813125695217,847,70,53,388,0.006038455426664591
temporal_world_bank_engineered,Logistic Regression scaled,0.9182621502209131,0.8928571428571429,0.8503401360544217,0.8710801393728222,872,45,66,375,0.013937282229965153
temporal_world_bank_engineered,Decision Tree,0.9005891016200295,0.8214285714285714,0.8866213151927438,0.8527808069792803,832,85,50,391,-0.004362050163576825
temporal_world_bank_engineered,Random Forest,0.9116347569955817,0.8512035010940919,0.8820861678004536,0.8663697104677061,849,68,52,389,0.00922685332484896
